               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.031262,            0.019018,          0.00082212,             0.31897,              0.3209,             0.35838,             0.27039,            0.015303,            0.019552,          0.00047492,            0.006172,            0.006172,            0.006172
                  60,            0.032083,            0.018345,          0.00065629,             0.79838,             0.29819,             0.30505,             0.22271,            0.015135,            0.019723,          0.00096852,            0.006106,            0.006106,            0.006106
                  61,             0.03237,            0.019879,          0.00091575,             0.34113,             0.26119,             0.31085,             0.22832,            0.015171,             0.01928,          0.00048997,             0.00604,             0.00604,             0.00604
                  62,            0.031536,            0.018565,          0.00061343,             0.44588,             0.33855,             0.34852,             0.26041,            0.014601,            0.019635,          0.00037113,            0.005974,            0.005974,            0.005974
                  63,            0.030764,             0.01826,          0.00059588,             0.30564,             0.42836,             0.30736,             0.22889,            0.016307,            0.019679,           0.0014079,            0.005908,            0.005908,            0.005908
                  64,            0.029969,            0.019172,          0.00062161,             0.40954,             0.38325,             0.35993,             0.25143,            0.016571,            0.020848,          0.00054269,            0.005842,            0.005842,            0.005842
                  65,             0.02955,            0.018243,          0.00055227,             0.30407,             0.49465,             0.32022,             0.23443,            0.015227,            0.019496,          0.00063879,            0.005776,            0.005776,            0.005776
                  66,            0.028895,            0.018261,          0.00057255,             0.27486,             0.36418,              0.2296,             0.16438,            0.015563,            0.020051,           0.0016628,             0.00571,             0.00571,             0.00571
                  67,            0.030163,            0.018771,          0.00056355,              0.3404,             0.46866,              0.3119,             0.23435,            0.015211,            0.018529,           0.0003735,            0.005644,            0.005644,            0.005644
                  68,            0.028479,             0.01835,           0.0006104,             0.32043,             0.26866,             0.34231,             0.26523,            0.014793,            0.020541,          0.00041011,            0.005578,            0.005578,            0.005578
                  69,            0.029105,            0.017808,          0.00072984,             0.39287,             0.19403,             0.30235,             0.23107,            0.015287,            0.019313,            0.001903,            0.005512,            0.005512,            0.005512
                  70,            0.029611,            0.018198,          0.00057002,             0.27222,             0.39104,             0.32533,             0.25291,            0.015316,            0.019919,            0.001758,            0.005446,            0.005446,            0.005446
                  71,            0.029154,            0.017631,          0.00062139,              0.2438,             0.46058,             0.33811,             0.26277,            0.014839,            0.018845,           0.0015121,             0.00538,             0.00538,             0.00538
                  72,            0.028716,            0.018564,          0.00067093,             0.26429,             0.30126,             0.30016,             0.21831,            0.015159,            0.018601,          0.00089935,            0.005314,            0.005314,            0.005314
                  73,            0.028301,            0.017354,          0.00063224,             0.27973,             0.37612,             0.28105,             0.20673,            0.016258,             0.02086,           0.0016381,            0.005248,            0.005248,            0.005248
                  74,            0.027751,            0.018946,          0.00053292,             0.27457,             0.35373,             0.27613,             0.20698,            0.016497,            0.020938,           0.0012621,            0.005182,            0.005182,            0.005182
                  75,            0.028559,            0.017225,          0.00058185,             0.24292,             0.43582,             0.27589,             0.21109,            0.014865,            0.021011,          0.00083478,            0.005116,            0.005116,            0.005116
                  76,            0.027468,            0.017433,          0.00051989,             0.36165,             0.29851,             0.35862,             0.26556,            0.015837,            0.021701,          0.00047392,             0.00505,             0.00505,             0.00505
                  77,            0.027578,            0.017418,          0.00052023,             0.38614,             0.25373,             0.33549,             0.24526,            0.015722,            0.021188,          0.00065842,            0.004984,            0.004984,            0.004984
                  78,            0.027331,            0.017362,          0.00049425,             0.43165,             0.23881,             0.35649,             0.26441,             0.01517,            0.020509,          0.00072911,            0.004918,            0.004918,            0.004918
                  79,            0.026762,             0.01754,          0.00056164,             0.22076,             0.31343,             0.29887,             0.22577,            0.015985,            0.020831,             0.00318,            0.004852,            0.004852,            0.004852
                  80,            0.026728,            0.016455,          0.00046525,             0.28648,             0.31343,             0.32196,             0.23836,            0.015745,            0.021438,           0.0035995,            0.004786,            0.004786,            0.004786
                  81,            0.027829,            0.017004,          0.00057948,             0.31943,             0.34328,             0.35681,             0.27424,            0.014745,            0.020651,           0.0008251,             0.00472,             0.00472,             0.00472
                  82,            0.026599,            0.017082,          0.00052466,             0.41665,             0.30597,             0.39128,             0.30353,            0.014792,            0.021011,          0.00072402,            0.004654,            0.004654,            0.004654
                  83,            0.025757,            0.015531,          0.00045809,             0.42601,             0.29104,             0.37676,             0.27824,            0.015432,            0.022111,          0.00042554,            0.004588,            0.004588,            0.004588
                  84,            0.026067,            0.015819,           0.0004863,             0.34625,             0.39104,             0.30839,             0.23417,            0.015136,            0.021247,           0.0024781,            0.004522,            0.004522,            0.004522
                  85,            0.026891,             0.01759,          0.00048456,             0.33321,             0.29818,             0.31664,             0.24152,            0.015883,            0.020845,           0.0010403,            0.004456,            0.004456,            0.004456
                  86,            0.027615,            0.017369,          0.00046901,             0.36668,             0.26866,             0.32077,             0.23965,            0.014301,            0.020625,           0.0011657,             0.00439,             0.00439,             0.00439
                  87,            0.026113,            0.016573,          0.00049691,             0.27138,             0.29104,             0.29198,             0.22571,            0.014056,            0.021249,           0.0018405,            0.004324,            0.004324,            0.004324
                  88,            0.025279,            0.015248,          0.00043787,             0.21525,             0.32836,              0.2344,             0.17998,            0.014231,            0.021605,          0.00092259,            0.004258,            0.004258,            0.004258
                  89,            0.026201,            0.016408,          0.00055648,             0.32126,             0.39703,             0.29955,              0.2278,            0.014136,             0.02144,          0.00070565,            0.004192,            0.004192,            0.004192
                  90,            0.025374,            0.016951,          0.00057669,             0.28935,             0.32802,             0.34867,             0.26953,            0.014904,              0.0224,           0.0012781,            0.004126,            0.004126,            0.004126
                  91,            0.025434,            0.016346,          0.00030482,             0.24617,             0.27504,             0.27328,             0.20896,            0.015539,            0.022887,            0.001165,             0.00406,             0.00406,             0.00406
                  92,             0.02497,            0.016451,          0.00039789,             0.23556,             0.39851,             0.29381,             0.21436,            0.015612,            0.022244,          0.00086787,            0.003994,            0.003994,            0.003994
                  93,              0.0244,            0.016483,          0.00036524,             0.33484,             0.27612,             0.33588,             0.25138,            0.015149,            0.022227,           0.0015427,            0.003928,            0.003928,            0.003928
                  94,            0.025571,            0.016616,          0.00042841,             0.39953,             0.26866,             0.36114,             0.27741,            0.014595,            0.022776,          0.00086673,            0.003862,            0.003862,            0.003862
                  95,            0.024455,            0.016731,          0.00052755,             0.39071,             0.27612,             0.33729,             0.25394,            0.014795,             0.02192,          0.00076578,            0.003796,            0.003796,            0.003796
                  96,             0.02464,            0.015856,          0.00032715,             0.32257,             0.29851,             0.31987,              0.2381,            0.015084,            0.022188,          0.00077073,             0.00373,             0.00373,             0.00373
